month,month_name,tavg_f,prcp_in,wet_days_ge_0_01_in,station,source
1,Jan,49.0,9.40,17.1,USW00024286,NOAA NCEI normals-monthly-1991-2020
2,Feb,49.3,6.94,14.1,USW00024286,NOAA NCEI normals-monthly-1991-2020
3,Mar,49.3,7.81,17.6,USW00024286,NOAA NCEI normals-monthly-1991-2020
4,Apr,50.8,5.12,14.2,USW00024286,NOAA NCEI normals-monthly-1991-2020
5,May,53.3,2.48,8.9,USW00024286,NOAA NCEI normals-monthly-1991-2020
6,Jun,55.5,1.40,6.6,USW00024286,NOAA NCEI normals-monthly-1991-2020
7,Jul,57.3,0.33,3.6,USW00024286,NOAA NCEI normals-monthly-1991-2020
8,Aug,58.5,0.37,6.0,USW00024286,NOAA NCEI normals-monthly-1991-2020
9,Sep,57.3,1.10,8.0,USW00024286,NOAA NCEI normals-monthly-1991-2020
10,Oct,54.8,4.07,11.7,USW00024286,NOAA NCEI normals-monthly-1991-2020
11,Nov,51.1,7.82,15.4,USW00024286,NOAA NCEI normals-monthly-1991-2020
12,Dec,48.3,11.14,18.0,USW00024286,NOAA NCEI normals-monthly-1991-2020
